date,open,high,low,close,volume,change_pct,dataset,simple_return,log_return,log_open_close,log_high_low,price_range_pct,close_to_open_ratio,volume_log_change,log_return_mean_5,log_return_std_5,volume_ma_5,log_return_mean_10,log_return_std_10,volume_ma_10,log_return_mean_21,log_return_std_21,volume_ma_21
2007-01-22,9956.49,9992.19,9936.57,9975.1,,0.21,MASI,0.0021378726961107652,0.00213559069811374,0.0018673879412501137,0.00558189715921006,0.005575883951038165,1.001869132595925,,0.0023978519635434632,0.007708257037763959,,0.0004200245370706816,0.007901481228512622,,,,
2007-01-23,9967.79,9991.8,9947.93,9991.18,,0.16,MASI,0.001612013914647381,0.0016107160148513483,0.0023438093957387214,0.00440026728401118,0.0043908727497651906,1.0023465582641689,,-0.0003140305254717171,0.0030978181503866667,,-0.00032256416292083314,0.007329988572071233,,,,
2007-01-24,9952.71,9997.22,9951.53,9995.75,,0.05,MASI,0.0004574034298250318,0.00045729885276427957,0.004315126760146545,0.004580746151376924,0.004570942650626385,1.0043244503255897,,-0.0006234925297601691,0.002877756758959951,,0.00024380044088532214,0.007126692806854071,,,,
2007-01-25,10003.13,10065.07,10003.13,10065.07,,0.69,MASI,0.006934947352624787,0.006911011205461319,0.006172969841645615,0.006172969841645615,0.006153956206961354,1.00619206188463,,0.0016254534278980104,0.003565112740987827,,0.0012502987157216316,0.0073020865391138935,,,,
2007-01-26,10048.66,10240.44,10048.44,10217.59,,1.52,MASI,0.015153396846718348,0.015039730973022745,0.016671452552360792,0.01892718886221715,0.018791123934313276,1.0168111967167761,,0.005230869548842687,0.006010613079981344,,0.004022235090070008,0.00665960750058784,,,,
2007-01-29,10278.92,10362.52,10278.92,10345.93,,1.26,MASI,0.012560691904842436,0.012482460824136577,0.006498009516326232,0.008100254353495494,0.008080472224343327,1.0065191673833438,,0.007300243574047255,0.0064440507246638565,,0.0048490477687953585,0.0071791029613420985,,,,
2007-01-30,10365.67,10445.83,10344.47,10445.79,,0.97,MASI,0.00965210474070477,0.009605820764604303,0.0076996420070833465,0.009750778304130013,0.009703430760143615,1.0077293604754927,,0.008899264523997846,0.005618357885339494,,0.004292616999263064,0.0064709754086479335,,,,
2007-01-31,10450.16,10516.37,10419.76,10455.33,,0.09,MASI,0.0009132865968011217,0.0009128698043451784,0.000494606929126876,0.009229087299059427,0.009240263100256097,1.000494729267303,,0.008990378714314025,0.005448348111043636,,0.004183443092276928,0.006522867681860155,,,,
2007-02-01,10418.91,10424.11,10113.38,10207.24,,-2.37,MASI,-0.02372856715187377,-0.02401462380738756,-0.02052515190753305,0.030262092725757847,0.03044211755577427,0.9796840552418631,,0.0028052517117442494,0.01590963097142355,,0.00221535256982113,0.010887226746093836,,0.0035064556413516557,0.0103124990119826,
2007-02-02,10213.13,10266.35,10192.85,10264.88,,0.56,MASI,0.005646972149180307,0.005631087772984283,0.005054212803202457,0.007185062583445629,0.0071603369937105945,1.005067006882317,,0.0009235230717365572,0.014603627835787437,,0.0030771963102896216,0.01077010650127013,,0.003063095251386783,0.009991433920152367,
2007-02-05,10214.01,10314.26,10192.29,10311.81,,0.46,MASI,0.0045718995253720696,0.004561480138261051,0.009529533058039335,0.01189585165139016,0.011828185352522919,1.0095750836351247,,-0.0006606730654385483,0.013417722296589286,,0.0033197852543043528,0.01077386101138525,,0.002520082230363164,0.009555561938739156,
2007-02-06,10304.77,10419.6,10275.52,10419.39,,1.04,MASI,0.010432698042341704,0.010378653013442152,0.011061598513969421,0.01392428049821375,0.013828064790741102,1.0111230042009671,,-0.000506106615670978,0.013569151201255514,,0.0041965789541634334,0.010974231202070348,,0.0022750833774853566,0.009267091437575653,
2007-02-07,10395.12,10408.67,10323.85,10362.26,,-0.55,MASI,-0.005483046512319789,-0.0054981335858711455,-0.003166105495940457,0.008182360198527517,0.008185473053175631,0.9968389013306244,,-0.0017883072937142426,0.013703777796532118,,0.0036010357102998908,0.011354696885687235,,0.0015829530631692786,0.009279613398708843,
2007-02-08,10379.25,10416.78,10356.6,10389.46,,0.26,MASI,0.002624910009978443,0.002621470950531327,0.0009832099174671956,0.005793969816552477,0.005792408845118061,1.0009836934267888,,0.003538911657869534,0.005803335101339884,,0.003172081684806891,0.011296636008971203,,0.0019557063077325454,0.009149564398157147,
2007-02-09,10399.62,10482.81,10386.34,10476.42,,0.84,MASI,0.008370021156056229,0.008335186770367377,0.0073577504616042745,0.009245291461331314,0.00920829825455636,1.0073848852169598,,0.004079731457346153,0.006161968374114604,,0.0025016272645413543,0.010697078153883256,,0.0025028090845548865,0.009172223793442435,
2007-02-12,10453.85,10536.06,10452.47,10536.06,,0.57,MASI,0.005692784367178794,0.0056766417057377986,0.007833327572504774,0.007965345067884664,0.007933705768570049,1.007864088350225,,0.004302763770841503,0.006203804084186852,,0.0018210453527014766,0.010196290665633725,,0.0033769173929453057,0.008503279035570443,
2007-02-13,10488.86,10648.82,10476.74,10627.44,,0.87,MASI,0.008673071337862659,0.008635676318869816,0.013125593930300055,0.016291526096101506,0.01619204625008468,1.0132121126604798,,0.003954168431927035,0.005813751972023754,,0.0017240309081280277,0.010118308153537767,,0.0035874575016113415,0.008579444900622603,
2007-02-14,10623.53,10664.63,10619.1,10639.47,,0.11,MASI,0.0011319753393101983,0.0011313351383080796,0.0014993183451096812,0.004278391940775654,0.0042793485013820085,1.0015004428848038,,0.005280062176762881,0.0033552664284583382,,0.001745877441524318,0.01011659787037892,,0.00291894353391519,0.008168924767575551,
2007-02-15,10643.03,10725.2,10638.07,10710.87,,0.67,MASI,0.006710860597379575,0.0066884430107117315,0.006353895844428968,0.008157036176135073,0.008134726684200351,1.0063741246618678,,0.0060934565887989615,0.0030264925301964544,,0.004816184123334248,0.0045663950143710755,,0.003141983254701152,0.008206567719040027,
2007-02-16,10750.44,10950.29,10750.44,10907.91,,1.84,MASI,0.018396264729195533,0.0182291004707469,0.014541530155610351,0.018419255961468418,0.018321566642922463,1.014647772556286,,0.008072239328874867,0.006310887827828465,,0.0060759853931105084,0.006245344358770468,,0.004216403209633365,0.008644212281752899,
2007-02-19,10960.04,11254.93,10948.02,11201.82,,2.69,MASI,0.026944666760176705,0.0265880509751326,0.021820333951107915,0.02764763688688833,0.027398226359645117,1.022060138466648,,0.012254521182753827,0.010111233927209643,,0.008278642476797663,0.008950313845693232,,0.005624755619482567,0.009750364355929996,
2007-02-20,11350.6,11351.86,11010.83,11016.69,,-1.65,MASI,-0.016526778684178067,-0.016664869468985627,-0.02985921033594449,0.030502273247160715,0.030955758943929677,0.9705821718675665,,0.007194412025182739,0.016614450037613367,,0.005574290228554886,0.011858454998379519,,0.004729495611525454,0.01088396507731665,
2007-02-21,11051.36,11051.36,10947.53,10954.65,,-0.56,MASI,-0.005631455546085129,-0.005647371975104095,-0.00878947365823142,0.009439637272155658,0.00947816680587695,0.991249040842032,,0.005838670602500304,0.017486567281469134,,0.005559366389631591,0.01187402160093111,,0.004383872373908529,0.011101031364140866,
2007-02-22,10920.87,10920.87,10582.25,10582.25,,-3.4,MASI,-0.03399469631617624,-0.03458595442876579,-0.03149756824641875,0.03149756824641872,0.03199886602565624,0.9689933128038333,,-0.0024162088853952003,0.025079040851534302,,0.0018386238517018795,0.017427653008556306,,0.0027151460271690013,0.013981076082226129,
2007-02-23,10610.04,10610.04,10430.55,10432.54,,-1.41,MASI,-0.014147274917904906,-0.014248301578219786,-0.01687095499878173,0.017061722522292135,0.017204822603124607,0.9832705625991985,,-0.008911689295188537,0.022464674771975023,,-0.000419724983156837,0.017947733530425315,,0.0017075597041365678,0.014419159483549436,
